ITEMSHOP_BUY	Buy
ITEMSHOP_DRAGONCOINT	Dragon Coins
ITEMSHOP_PRICE	|Eishop/mini_coin|e %s Coins
ITEMSHOP_PRICE_ONLY_TEXT	%s Coins
ITEMSHOP_PRICE_WITH_DISCOUNT	|Eishop/mini_coin|e |cffFF7B7B%s Coins (%d%%)
ITEMSHOP_BUY_TEXT	Do you want buy |cffF7BD48%s|r ?
ITEMSHOP_BUY_TEXT_COUNT	Do you want buy |cffF7BD48%sx%d|r ?
ITEMSHOP_BUY_COIN	BUY COINS
ITEMSHOP_PURCHASES	PURCHASES
ITEMSHOP_HOTITEMS	|Eishop/hot|eHOT ITEMS
ITEMSHOP_OFFERS	|Eishop/offer|e OFFERS
ITEMSHOP_ITEMSEARCH_DEFAULT_TEXT	Search item on itemshop...
PURCHASES_DATE	Date
PURCHASES_ACCOUNTID	ID Account
PURCHASES_IP	IP
PURCHASES_ITEMBOUGHT	Item Bought
PURCHASES_PRICE	Price
PURCHASES_PRICE_TEXT	|Eishop/mini_coin|e |cffF7BD48%s Dragon Coins
CATEGORY_0_NAME	Special Items
CATEGORY_0_SUB_0_NAME	Costume Event
CATEGORY_0_SUB_1_NAME	Battle Pass
CATEGORY_0_SUB_2_NAME	Special
CATEGORY_1_NAME	Weapon
CATEGORY_1_SUB_0_NAME	Sword
CATEGORY_1_SUB_1_NAME	Two-Handed
CATEGORY_1_SUB_2_NAME	Dagger
CATEGORY_1_SUB_3_NAME	Bell
CATEGORY_1_SUB_4_NAME	Fan
CATEGORY_1_SUB_5_NAME	Bow
CATEGORY_2_NAME	Armor
CATEGORY_2_SUB_0_NAME	Warrior
CATEGORY_2_SUB_1_NAME	Assassin
CATEGORY_2_SUB_2_NAME	Sura
CATEGORY_2_SUB_3_NAME	Shaman
CATEGORY_3_NAME	Accessories
CATEGORY_3_SUB_0_NAME	Helmet
CATEGORY_3_SUB_1_NAME	Shield
CATEGORY_3_SUB_2_NAME	Earring
CATEGORY_3_SUB_3_NAME	Bracelet
CATEGORY_3_SUB_4_NAME	Necklace
CATEGORY_3_SUB_5_NAME	Shoes
CATEGORY_3_SUB_6_NAME	Belt
CATEGORY_3_SUB_7_NAME	Talisman
CATEGORY_4_NAME	Costume
CATEGORY_4_SUB_0_NAME	Weapon
CATEGORY_4_SUB_1_NAME	Costume
CATEGORY_4_SUB_2_NAME	Hair
CATEGORY_4_SUB_3_NAME	Sash
CATEGORY_5_NAME	Pet
CATEGORY_5_SUB_0_NAME	Pet
CATEGORY_5_SUB_1_NAME	Mount
CATEGORY_6_NAME	Other Items
CATEGORY_6_SUB_0_NAME	Other Items
CATEGORY_6_SUB_1_NAME	Dungeons
CATEGORY_6_SUB_2_NAME	Marriage
CATEGORY_7_NAME	Alchemy Items
CATEGORY_7_SUB_0_NAME	Time Item
CATEGORY_7_SUB_1_NAME	Refine Item
CATEGORY_8_NAME	Craft Items
CATEGORY_8_SUB_0_NAME	Strengthening
CATEGORY_8_SUB_1_NAME	Improving
CATEGORY_9_NAME	Upgrade Items
CATEGORY_10_NAME	Special Packs
